,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
16,221,,,9,139,,11900741.851562459,6094885.515313855,"11900741.851562459,6094885.515313855","(47.92800341441896, 106.9061829761941)"
17,132,,,4,47,,11912136.27417396,6095141.185950987,"11912136.27417396,6095141.185950987","(47.92954234631148, 107.00854081605037)"
18,9,МУИС-н багш ажилчдын 2-р байр,0,7,103,,11902503.267902864,6094254.994164811,"11902503.267902864,6094254.994164811","(47.92420798778939, 106.92200604839694)"
19,15,Гайд зочид буудлын ард,0,7,103,,11902079.617142692,6094886.7939305045,"11902079.617142692,6094886.7939305045","(47.92801111077818, 106.91820032886702)"
20,181,,,4,32,,11903781.386138288,6095513.816370752,"11903781.386138288,6095513.816370752","(47.93178520015262, 106.93348757985487)"
21,158,,,9,142,,11900409.811440157,6094872.462043739,"11900409.811440157,6094872.462043739","(47.92792484298801, 106.90320020902604)"
22,89,,,3,24,,11898941.943892729,6093456.645607549,"11898941.943892729,6093456.645607549","(47.919401923287666, 106.89001413049687)"
23,244,,,7,105,,11902449.577836094,6094865.475336942,"11902449.577836094,6094865.475336942","(47.92788278791781, 106.9215237423211)"
24,301,,,3,21,,11897692.916324941,6094063.808617621,"11897692.916324941,6094063.808617621","(47.9230570899741, 106.87879392495256)"
25,387,,,7,104,,11903114.828639103,6094962.127751473,"11903114.828639103,6094962.127751473","(47.9284645645668, 106.92749979196223)"
26,3,5-р байрны хойд тал,0,7,102,,11899554.47068152,6092154.170164427,"11899554.47068152,6092154.170164427","(47.91156005256005, 106.89551655225992)"
27,252,Бага тойруу 64-р байр,89029179,7,105,,11902625.016620714,6093531.39393857,"11902625.016620714,6093531.39393857","(47.9198519277655, 106.92309973573761)"
28,146,,,4,55,,11904471.842339134,6092301.072523528,"11904471.842339134,6092301.072523528","(47.91244457346627, 106.9396900534372)"
29,152,,,4,55,,11904263.491767956,6092107.591420099,"11904263.491767956,6092107.591420099","(47.91127959187074, 106.93781840841177)"
30,52,,,9,134,,11901631.937971605,6093166.363676399,"11901631.937971605,6093166.363676399","(47.917654313120856, 106.91417875844932)"
31,258,,,7,107,,11902240.825434644,6095113.60030379,"11902240.825434644,6095113.60030379","(47.92937630507473, 106.9196484875929)"
32,264,,,8,119,,11900204.819273574,6090563.545196159,"11900204.819273574,6090563.545196159","(47.901981695431864, 106.90135873306238)"
33,335,БХТөв-ийн  ТҮЦ урд ,0,9,135,,11899621.788013928,6093028.027268532,"11899621.788013928,6093028.027268532","(47.91682145335285, 106.89612127414578)"
34,381,,,7,104,,11903243.451153377,6095183.207296925,"11903243.451153377,6095183.207296925","(47.92979527668274, 106.9286552276668)"
35,235,Батмөнх гудамж ,0,7,105,,11902634.160834627,6094611.1187175065,"11902634.160834627,6094611.1187175065","(47.926351716345515, 106.92318187960879)"
36,358,Баруун 4-н замын автобусны буудал Түц-4 гуталчин,0,3,23,,11899427.831709946,6092970.220484121,"11899427.831709946,6092970.220484121","(47.916473421368934, 106.8943789350226)"
37,172,Бөмбөгөрийн автобусны буудал дээр байрлах Түц-2,0,3,23,,11900020.033156637,6093885.156502367,"11900020.033156637,6093885.156502367","(47.92198161770712, 106.89969877113101)"
38,218,47-р байрны хойд талд,0,8,132,,11900026.435659762,6088972.478815345,"11900026.435659762,6088972.478815345","(47.89239890689584, 106.89975628579515)"
39,375,,,4,31,,11904591.844659586,6094343.664865622,"11904591.844659586,6094343.664865622","(47.92474175854531, 106.94076805262313)"
40,32,амарын гудамж ,0,7,105,,11902565.904845243,6093878.780583927,"11902565.904845243,6093878.780583927","(47.92194323474549, 106.92256872562382)"
41,229,11-р хороолол,0,7,105,,11902595.92060556,6094957.483928688,"11902595.92060556,6094957.483928688","(47.92843661230916, 106.9228383617864)"
42,327,,,7,102,,11899702.304598248,6092747.464044333,"11899702.304598248,6092747.464044333","(47.91513227029205, 106.89684456692899)"
43,275,,,8,119,,11900015.686847957,6090091.015218067,"11900015.686847957,6090091.015218067","(47.89913589319368, 106.89965972757585)"
44,126,,,4,39,,11911761.283100711,6095953.329286136,"11911761.283100711,6095953.329286136","(47.93443049315519, 107.00517221392529)"
45,26,их тойруу ,95250250,7,105,,11902371.39256579,6095080.573672305,"11902371.39256579,6095080.573672305","(47.92917751321603, 106.92082139208802)"
46,272,,,8,119,,11900048.623755574,6090136.150728703,"11900048.623755574,6090136.150728703","(47.899407727651415, 106.89995560485109)"
47,12,27-р байрны урд буланд,0,7,103,,11902248.017518839,6094344.5686922455,"11902248.017518839,6094344.5686922455","(47.924747199279395, 106.91971309518448)"
48,178,ТҮЦ /иргэн Жаргал/,99291805,3,13,,11897405.425620174,6092883.904975074,"11897405.425620174,6092883.904975074","(47.915953745174214, 106.87621135201123)"
49,35,бага тойруу ,0,7,105,,11902347.016059127,6094501.025775442,"11902347.016059127,6094501.025775442","(47.92568900998849, 106.92060241420292)"
50,129,,,4,39,,11911766.657599928,6096003.491130447,"11911766.657599928,6096003.491130447","(47.93473239325814, 107.00522049387321)"
51,390,,,7,104,,11902934.508386185,6094923.718474478,"11902934.508386185,6094923.718474478","(47.9282333696729, 106.92587994756991)"
52,155,,,9,142,,11900659.023079924,6095685.202518807,"11900659.023079924,6095685.202518807","(47.93281673673914, 106.90543891527588)"
53,86,,,3,24,,11898869.687080752,6093918.850753549,"11898869.687080752,6093918.850753549","(47.922184456270166, 106.88936503651107)"
54,135,ЭТӨЧ гудамж,0,4,34,,11905505.408697756,6093257.729757286,"11905505.408697756,6093257.729757286","(47.91820437884207, 106.94897473800823)"
55,63,,,3,21,,11897861.906523287,6094174.675585391,"11897861.906523287,6094174.675585391","(47.92372448951969, 106.88031198973299)"
56,6,Нацагдоржийн номын сангийн баруун талд,0,7,99,,11900924.567067344,6092532.7722719945,"11900924.567067344,6092532.7722719945","(47.913839641310744, 106.90782433750093)"
57,255,,,7,107,,11902132.141543329,6095090.90793773,"11902132.141543329,6095090.90793773","(47.9292397166698, 106.91867216358584)"
