,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
6,75,{712F634E-9235-4CA1-B48C-1D834D3B9C86},11,2,2,1,2,11901978.77451017,6093135.195774863,"11901978.77451017,6093135.195774863","(47.917466666717516, 106.91729444408617)"
7,722,{E633F208-C9B8-4FF3-8C76-FF386ED5F78D},10,1,2,1,2,11903615.480263138,6094653.288475798,"11903615.480263138,6094653.288475798","(47.926605555681306, 106.93199722202115)"
8,438,{098C65E9-1853-4BF7-900F-4CD8BA9EB8DF},1,1,2,1,2,11915024.99294195,6093412.178995246,"11915024.99294195,6093412.178995246","(47.91913422080956, 107.03449061825846)"
9,9,{B44EFB0D-6C53-4418-A056-C13754B1B7C8},11,2,2,1,2,11902623.190652808,6093981.880012887,"11902623.190652808,6093981.880012887","(47.92256388872514, 106.92308333278882)"
10,836,{CE9C7460-F538-4B80-B9F3-1D5CC2D57580},1,1,3,1,2,11904503.871697474,6091599.380211722,"11904503.871697474,6091599.380211722","(47.90821944355174, 106.9399777780586)"
11,387,{2365DF4D-A243-4E1C-9FE4-0A5E94CC4EB7},10,1,2,1,2,11904314.937756345,6103614.114270755,"11904314.937756345,6103614.114270755","(47.98051666657764, 106.93828055558853)"
12,301,{7B5091A8-E4B5-46EB-AB0C-C2580E1591BE},7,1,2,1,2,11902501.515450198,6095097.62400203,"11902501.515450198,6095097.62400203","(47.929280141602185, 106.92199030584679)"
13,885,{7C611C99-B32B-47A2-B5AB-DB82D64F745D},7,1,2,1,2,11903048.678651672,6096133.802568101,"11903048.678651672,6096133.802568101","(47.93551666711776, 106.92690555651471)"
14,95,{C1957F06-8383-46DE-9E8E-79C53C3E4E53},11,2,2,2,2,11908222.251899822,6092798.390863142,"11908222.251899822,6092798.390863142","(47.91543888877074, 106.97338055573795)"
15,72,{87B179DC-F5B8-46DC-AE6C-9FA04D681067},11,2,2,1,2,11903346.148914848,6093250.5428524045,"11903346.148914848,6093250.5428524045","(47.918161110589594, 106.92957777735451)"
16,9750,{8A5E37A9-0EB1-48D2-B418-271B3E3EDE0F},8,1,2,1,2,11902638.713884225,6104012.675948359,"11902638.713884225,6104012.675948359","(47.9829132309668, 106.92322278034922)"
